사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2025-12,6호선,2649,신내,27,0,1,0
2025-12,7호선,2711,장암,68869,24072,16047,11976
2025-12,7호선,2712,도봉산,218060,241399,50361,73118
2025-12,7호선,2713,수락산,275766,271674,121103,122493
2025-12,7호선,2714,마들,304570,281788,107733,105986
2025-12,7호선,2715,노원,494468,523927,162545,162914
2025-12,7호선,2716,중계,342373,311199,109335,106374
2025-12,7호선,2717,하계,432909,401949,134507,129195
2025-12,7호선,2718,공릉(서울과학기술대),297200,289355,90403,90996
2025-12,7호선,2719,태릉입구,215581,204848,54409,51211
2025-12,7호선,2720,먹골,239630,235632,80302,82059
2025-12,7호선,2721,중화,265771,262486,77656,78403
2025-12,7호선,2722,상봉,463284,457765,99625,96801
2025-12,7호선,2723,면목,349014,331802,107352,110376
2025-12,7호선,2724,사가정,377448,378166,118849,121084
2025-12,7호선,2725,용마산(용마폭포공원),136377,131062,39293,42658
2025-12,7호선,2726,중곡,266747,246860,76819,77848
2025-12,7호선,2727,군자(능동),383570,296221,96160,81382
2025-12,7호선,2728,어린이대공원(세종대),454517,457574,48757,48462
2025-12,7호선,2729,건대입구,388730,410856,78654,73240
2025-12,7호선,2730,자양(뚝섬한강공원),208892,201958,51238,50886
2025-12,7호선,2731,청담,462597,517701,90276,87805
2025-12,7호선,2732,강남구청,426215,482193,61323,63036
2025-12,7호선,2733,학동,605373,636283,72745,69392
2025-12,7호선,2734,논현,519562,550759,52323,51566
2025-12,7호선,2735,반포,165401,159384,49880,47493
2025-12,7호선,2736,고속터미널,494659,404488,95286,86908
2025-12,7호선,2737,내방,359165,364706,85949,83135
2025-12,7호선,2738,이수,434366,424754,101565,95179
2025-12,7호선,2739,남성,258779,243513,87741,88640
2025-12,7호선,2740,숭실대입구(살피재),340636,336157,71958,74588
2025-12,7호선,2741,상도,303323,295341,72695,69682
2025-12,7호선,2742,장승배기,217654,210518,80365,80645
2025-12,7호선,2743,신대방삼거리,357943,338451,102364,104825
2025-12,7호선,2744,보라매,168301,175958,37215,38200
2025-12,7호선,2745,신풍,282193,263858,89501,88301
2025-12,7호선,2746,대림(구로구청),237462,240561,55368,54272
2025-12,7호선,2747,남구로,365494,389412,75790,78038
2025-12,7호선,2748,가산디지털단지,1110915,1109859,115715,107880
2025-12,7호선,2749,철산,561847,577629,133977,133754
2025-12,7호선,2750,광명사거리,494347,483753,186761,192714
2025-12,7호선,2751,천왕,288868,276906,71501,72135
2025-12,7호선,2752,온수(성공회대입구),246070,224081,49843,47129
2025-12,8호선,2810,암사역사공원,172472,146426,38557,37318
2025-12,8호선,2811,암사,376714,342740,121827,120479
2025-12,8호선,2812,천호(풍납토성),438253,515876,128039,130529
2025-12,8호선,2813,강동구청,249487,256308,82708,83962
2025-12,8호선,2814,몽촌토성(평화의문),191805,199635,41912,42144
2025-12,8호선,2815,잠실(송파구청),594964,702823,110611,109131
2025-12,8호선,2816,석촌,221040,260789,68677,71076
2025-12,8호선,2817,송파,230611,228723,81694,80329
2025-12,8호선,2818,가락시장,202053,229871,81117,82739
2025-12,8호선,2819,문정,586359,611885,80136,79998
2025-12,8호선,2820,장지,435704,400602,105176,99444
2025-12,8호선,2821,복정,247404,208673,49136,44760
2025-12,8호선,2822,산성,150083,150872,39727,42440
2025-12,8호선,2823,남한산성입구(성남법원.검찰청),315896,281775,84408,80069
2025-12,8호선,2824,단대오거리,286412,271684,86600,85453
2025-12,8호선,2825,신흥,121339,123327,48763,49688
2025-12,8호선,2826,수진,122740,110635,51754,51154
2025-12,8호선,2827,모란,98983,82263,63680,49525
2025-12,8호선,2828,남위례,193477,190442,43793,41719
2025-12,9호선,4101,개화,61339,40902,12952,10382
2025-12,9호선,4102,김포공항,188149,354483,20217,32385
2025-12,9호선,4103,공항시장,62287,67003,23994,25837
2025-12,9호선,4104,신방화,160253,157709,53409,53673
2025-12,9호선,4105,마곡나루(서울식물원),431666,416524,52604,51705
2025-12,9호선,4106,양천향교,272684,280161,55080,54530
2025-12,9호선,4107,가양,519036,508924,158972,155627
2025-12,9호선,4108,증미,194154,185854,42747,42655
2025-12,9호선,4109,등촌,287317,270673,102094,104398
2025-12,9호선,4110,염창,465064,443036,93190,89926
2025-12,9호선,4111,신목동,108697,94366,30524,29200
2025-12,9호선,4112,선유도,231765,212908,39388,38802
2025-12,9호선,4113,당산,513789,501696,85592,79545
2025-12,9호선,4114,국회의사당,458883,469225,76927,69260
2025-12,9호선,4115,여의도,885032,837825,68957,63353
2025-12,9호선,4116,샛강,165829,164830,33908,33462
2025-12,9호선,4117,노량진,792815,774371,105114,102533
2025-12,9호선,4118,노들,111613,90335,37737,35187
2025-12,9호선,4119,흑석(중앙대입구),225517,232639,68895,68869
2025-12,9호선,4120,동작(현충원),48136,41494,13648,12197
2025-12,9호선,4121,구반포,49835,43865,12183,11689
2025-12,9호선,4122,신반포,115835,108804,34480,34334
2025-12,9호선,4123,고속터미널,421183,602998,84211,104256
2025-12,9호선,4124,사평,106296,101421,28855,28639
2025-12,9호선,4125,신논현,952734,974262,65959,63857
2025-12,공항철도 1호선,4201,서울역,399077,357799,40990,37832
2025-12,공항철도 1호선,4202,공덕,87186,118672,10429,13071
2025-12,공항철도 1호선,4203,홍대입구,511899,485784,23589,21902
2025-12,공항철도 1호선,4204,디지털미디어시티,382251,357909,36053,33688
2025-12,공항철도 1호선,4206,마곡나루(서울식물원),389704,380643,26145,26843
2025-12,공항철도 1호선,4207,김포공항,299351,159862,28702,16734
2025-12,공항철도 1호선,4208,계양,247995,245833,33794,34037
2025-12,공항철도 1호선,4209,검암,169807,168137,18773,18494
2025-12,공항철도 1호선,4210,청라국제도시,217755,205956,17447,17278
2025-12,공항철도 1호선,4211,운서,282382,294732,34714,34351
2025-12,공항철도 1호선,4212,공항화물청사,47609,56218,10289,10049
2025-12,공항철도 1호선,4213,인천공항1터미널,426875,412643,38769,35429
2025-12,공항철도 1호선,4215,인천공항2터미널,235501,198625,23549,20427
2025-12,공항철도 1호선,4217,영종,119283,120382,27431,27427
2025-12,9호선2~3단계,4126,언주,317028,320670,37724,37181
2025-12,9호선2~3단계,4127,선정릉,268286,292724,34210,35733
2025-12,9호선2~3단계,4128,삼성중앙,210435,219603,34606,34142
2025-12,9호선2~3단계,4129,봉은사,682953,758988,71905,68267
2025-12,9호선2~3단계,4130,종합운동장,146085,145663,26432,24129
2025-12,9호선2~3단계,4131,삼전,209780,197531,51753,50783
2025-12,9호선2~3단계,4132,석촌고분,185049,180118,49386,49231
2025-12,9호선2~3단계,4133,석촌,259700,235680,51130,45296
2025-12,9호선2~3단계,4134,송파나루,161778,172152,37233,39746
2025-12,9호선2~3단계,4135,한성백제,82387,73471,21904,19389
2025-12,9호선2~3단계,4136,올림픽공원(한국체대),256362,272634,33146,33331
2025-12,9호선2~3단계,4137,둔촌오륜,115940,111951,27177,28141
2025-12,9호선2~3단계,4138,중앙보훈병원,295260,245254,96674,93314
2025-12,우이신설선,4701,북한산우이,54166,46562,38331,39153
2025-12,우이신설선,4702,솔밭공원,48684,43156,32547,33190
2025-12,우이신설선,4703,4.19민주묘지,66502,64923,40086,36568
2025-12,우이신설선,4704,가오리,76459,73997,56595,58703
2025-12,우이신설선,4705,화계,61937,55508,52111,51758
2025-12,우이신설선,4706,삼양,43086,43754,33378,36586
2025-12,우이신설선,4707,삼양사거리,41519,40324,39602,39134
2025-12,우이신설선,4708,솔샘,136635,124303,46000,47409
2025-12,우이신설선,4709,북한산보국문,150650,136571,49365,49710
2025-12,우이신설선,4710,정릉,99029,86344,51746,48835
2025-12,우이신설선,4711,성신여대입구(돈암),83580,97008,36841,34970
2025-12,우이신설선,4712,보문,38383,37723,19305,18861
2025-12,우이신설선,4713,신설동,41169,39928,36365,31946
2025-12,신림선,4401,샛강,68865,86502,17493,16421
2025-12,신림선,4402,대방,85856,61715,25196,19830
2025-12,신림선,4403,서울지방병무청,67780,74831,31242,34371
2025-12,신림선,4404,보라매,110700,99754,32050,28577
2025-12,신림선,4405,보라매공원,50014,54878,20800,22317
2025-12,신림선,4406,보라매병원,178794,187694,67333,67222
2025-12,신림선,4407,당곡,109766,103352,46738,45471
2025-12,신림선,4408,신림,52353,62881,22693,24729
2025-12,신림선,4409,서원,83230,71144,30133,29254
2025-12,신림선,4410,서울대벤처타운,240946,211727,74836,74460
2025-12,신림선,4411,관악산(서울대),57996,54221,31115,31084
